Datum von;Day Ahead Preise D_LU;Prognostizierte Erzeugung PV und Wind;Erzeugung Erneuerbare;Erzeugung Konventionelle;Residuallast;GWL
01.10.2018 00:00;59,53;5859,25;11903,5;36611,5;36009,25;15.0
01.10.2018 01:00;56,1;5754;11946;36309,75;36009,25;15.0
01.10.2018 02:00;51,41;5902,5;11954;36294,5;35240,5;15.0
01.10.2018 03:00;47,38;6331,5;12162,5;36485,5;35795;15.0
01.10.2018 04:00;47,59;6954,5;12988;37063,25;36541,5;15.0
01.10.2018 05:00;51,61;7644,5;13716,75;39478,5;40186,25;15.0
01.10.2018 06:00;69,13;8274,5;15429,75;43021,75;47884,25;15.0
01.10.2018 07:00;77,32;9201,75;16743,25;49076,5;52731,75;15.0
01.10.2018 08:00;84,97;11146,75;18859,75;50041,25;53472,75;15.0
01.10.2018 09:00;79,56;13677,75;21451,5;49777;51693,5;15.0
01.10.2018 10:00;73,7;16894,75;25178,75;47150,5;49103,5;15.0
01.10.2018 11:00;71,63;20056,75;29274;44279,25;46425;15.0
01.10.2018 12:00;63,15;22432,75;32068,5;40583,75;43387,75;15.0
01.10.2018 13:00;60,24;23929,5;33691,5;39423,5;41098,75;15.0
01.10.2018 14:00;56,18;24815,25;35392,75;38792,25;38783,75;15.0
01.10.2018 15:00;53;24426,25;34680;38127,75;38413;15.0
01.10.2018 16:00;53,37;22760;32692,5;38247;38934,5;15.0
01.10.2018 17:00;60,42;20347,5;28937,25;40767,25;42679,75;15.0
01.10.2018 18:00;69,93;17892;25146,5;43305;47399,5;15.0
01.10.2018 19:00;75;17393,25;24459,25;46288,25;49426;15.0
01.10.2018 20:00;65,83;17578,25;24911,75;43777;46181,75;15.0
01.10.2018 21:00;53,86;17626;24820,75;40847;42323,5;15.0
01.10.2018 22:00;46,46;17124;24116;38288,25;39470;15.0
01.10.2018 23:00;42,5;16464,25;23686,5;35402;35410,25;15.0
02.10.2018 00:00;45,1;16308;23024;34416,75;32683;5.0
02.10.2018 01:00;44,1;15902,75;22339,25;33740,5;31676;5.0
02.10.2018 02:00;44,06;15700,5;22063;33985;30585,25;5.0
02.10.2018 03:00;43,77;15739,75;22942,25;33503,5;30708,5;5.0
02.10.2018 04:00;44,29;16114;24208,5;33734,75;30955;5.0
02.10.2018 05:00;48,13;16674,5;25650,5;35201,75;34043;5.0
02.10.2018 06:00;57,7;17663,5;27312,5;38423,25;40490;5.0
02.10.2018 07:00;68,21;18923,5;29060,5;41687;43868,25;5.0
02.10.2018 08:00;70,36;21996,75;32004,75;41718,5;43298,5;5.0
02.10.2018 09:00;54,53;26305;35833;38453,75;40379,5;5.0
02.10.2018 10:00;48,49;31148;40796;36883,75;36679,25;5.0
02.10.2018 11:00;46,19;35281,75;45550,75;34252;33237,5;5.0
02.10.2018 12:00;44,15;38050,5;48145;31477;30429,25;5.0
02.10.2018 13:00;30,79;39164;48359,75;30599;29709;5.0
02.10.2018 14:00;27,75;39086;48270,5;30085,75;28811,5;5.0
02.10.2018 15:00;30,74;38115;46517;29759,25;29309,75;5.0
02.10.2018 16:00;26,77;36767;45345,75;29706,75;28612;5.0
02.10.2018 17:00;38,68;34873,25;43472,25;30624,75;29873,75;5.0
02.10.2018 18:00;48,52;33119,5;42003;32215,5;31776,75;5.0
02.10.2018 19:00;49,03;32488,75;41340,25;33526;34089,25;5.0
02.10.2018 20:00;45,43;32068,75;41119,75;31276,5;31104,5;5.0
02.10.2018 21:00;32,04;31626,25;41068,25;28176,5;26826,25;5.0
02.10.2018 22:00;26,22;30849;40254;25572,5;23346;5.0
02.10.2018 23:00;1,08;30970;40308,25;22561;19212;5.0
03.10.2018 00:00;2,13;33386,75;40456,5;20435,5;16033,25;5.0
03.10.2018 01:00;0,1;33497,5;40195,25;20211,75;14260,5;5.0
03.10.2018 02:00;0,05;33564;40569;19750,25;12724,25;5.0
03.10.2018 03:00;0,07;33322;40052;20059,5;12881,25;5.0
03.10.2018 04:00;-0,08;33172,75;39710,75;20040,25;13026;5.0
03.10.2018 05:00;-0,09;32906,25;39281;20166,5;13418,75;5.0
03.10.2018 06:00;-4,97;32899;39472,25;20030,75;12993,75;5.0
03.10.2018 07:00;-0,06;32426,25;38741,5;20527,5;15650,5;5.0
03.10.2018 08:00;0,7;33348;38702,5;21312,25;18922,75;5.0
03.10.2018 09:00;0,91;35598,25;40420;23259,25;20155,25;5.0
03.10.2018 10:00;-0,03;38523,25;43181,25;23486,5;18800,5;5.0
03.10.2018 11:00;0,03;41216;46075,25;22310,5;17952,5;5.0
03.10.2018 12:00;-0,04;42293,25;47568,25;20848,25;16198;5.0
03.10.2018 13:00;0;41664,25;47571,75;20594;13677,5;5.0
03.10.2018 14:00;0,03;39842,5;46520;20660,25;13240,75;5.0
03.10.2018 15:00;5,75;36411;43767,25;20682,25;15061,25;5.0
03.10.2018 16:00;20,28;31286,75;37936,75;23566,5;20366,75;5.0
03.10.2018 17:00;43,2;24895,25;31501,25;29011,75;27826,5;5.0
03.10.2018 18:00;63,23;18761,75;25202;33296,75;36451,5;5.0
03.10.2018 19:00;71,44;15884,25;22614,25;36622;41561,5;5.0
03.10.2018 20:00;67,95;14292,75;21499,25;36606,25;40827,75;5.0
03.10.2018 21:00;56,88;13425,5;21237;35490;38771,25;5.0
03.10.2018 22:00;62,85;12875,75;20832,75;34634;37761,5;5.0
03.10.2018 23:00;48,72;12244,75;19772,5;33572,25;35397;5.0
04.10.2018 00:00;53,24;11660,25;18358,5;33874;33786,5;5.0
04.10.2018 01:00;46,1;11372;17783,25;33171;32846,5;5.0
04.10.2018 02:00;45,6;11249,25;17218;33571,5;32449,25;5.0
04.10.2018 03:00;46,88;11083;16801;35321,5;33590,5;5.0
04.10.2018 04:00;47,53;11058,75;16931,5;36764,25;35023,25;5.0
04.10.2018 05:00;50,88;11042,75;16328,75;39596;39990,25;5.0
04.10.2018 06:00;74,69;11029,75;16586,5;44811,75;48930,25;5.0
04.10.2018 07:00;80,15;11055,75;16587,25;50009,5;54297,5;5.0
04.10.2018 08:00;81;13007,5;17930,75;51331,25;54856;5.0
04.10.2018 09:00;82,09;16239,75;20580,5;50448,75;52927;5.0
04.10.2018 10:00;78,96;19658,25;24337,25;47938,25;50011,75;5.0
04.10.2018 11:00;75,34;22670,5;27386,5;47549,5;47735,75;5.0
04.10.2018 12:00;63,05;24733,25;29818,75;45804,5;44508,75;5.0
04.10.2018 13:00;54,49;25261,25;31018,25;44421,25;42492,5;5.0
04.10.2018 14:00;54,4;24187;30508,5;44262;41584,75;5.0
04.10.2018 15:00;57,61;21389,5;27620,5;44840,75;43270;5.0
04.10.2018 16:00;66,96;17243,5;23281,25;45508;46597,75;5.0
04.10.2018 17:00;77,23;12468;18332,25;47509,25;51794,75;5.0
04.10.2018 18:00;80,25;9173,5;14735,5;50308,5;56339;5.0
04.10.2018 19:00;88,08;8906,5;14778,75;51560;58720,5;5.0
04.10.2018 20:00;80,67;9390;15547,25;48849,75;55318,75;5.0
04.10.2018 21:00;72,22;10037,5;15961,25;46637,75;50679,25;5.0
04.10.2018 22:00;53,98;10530,75;16759,25;42901,25;45643,75;5.0
04.10.2018 23:00;52,25;10961,25;18106,75;40123,5;40457,75;5.0
05.10.2018 00:00;49,57;13090;18983,75;38499;36392;4.0
05.10.2018 01:00;51,16;13471,25;19531;37960;34073,5;4.0
05.10.2018 02:00;48,91;13601;19586,75;37246,75;33618,75;4.0
05.10.2018 03:00;47,36;13416,5;19495,25;36902,75;33995,5;4.0
05.10.2018 04:00;48,28;13100,75;19081,25;37505,75;35867,25;4.0
05.10.2018 05:00;54,18;12700,75;18381;39617,5;40000,25;4.0
05.10.2018 06:00;63,62;12292;17458,75;43460,5;48568,75;4.0
05.10.2018 07:00;78,87;12192,75;17676,75;47056,75;53546,25;4.0
05.10.2018 08:00;79,74;14914,5;20857,75;48508,25;52603;4.0
05.10.2018 09:00;74,5;19626,75;25634,75;45751,25;47904;4.0
05.10.2018 10:00;55,42;23720,75;29471,5;43654,5;44617;4.0
05.10.2018 11:00;50,21;27225,25;32931,25;41055;41457,75;4.0
05.10.2018 12:00;46,64;29132,5;35303,5;39044;38058;4.0
05.10.2018 13:00;50,72;28880,5;35694;38147;36573,75;4.0
05.10.2018 14:00;48,24;26601;33678,25;38346;36476,25;4.0
05.10.2018 15:00;48,55;22387;29552,75;39754;39911;4.0
05.10.2018 16:00;54,98;16313,75;23395;43135,25;44971;4.0
05.10.2018 17:00;74,99;9720,5;16547,25;46897,75;50882,5;4.0
05.10.2018 18:00;78,66;5877,5;12791,75;50671,5;55581,75;4.0
05.10.2018 19:00;82,96;6370,75;14608,5;49230,5;56358;4.0
05.10.2018 20:00;79,9;7703,25;16766,5;47462,75;51718,75;4.0
05.10.2018 21:00;65,08;8842,75;18271,5;43009,25;46689,25;4.0
05.10.2018 22:00;59,86;9383;18840,75;39947,5;42496,5;4.0
05.10.2018 23:00;54,7;9466,75;18596,25;39185;38645;4.0
06.10.2018 00:00;50,1;9980,75;17387,25;36707;36351,75;29.0
06.10.2018 01:00;52,98;9282;16415;35929;35171,75;29.0
06.10.2018 02:00;51,52;8657,75;15796;35354,75;34432,5;29.0
