epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,49,,,,,,,
0,,49,,19.172698974609375,,,,,
,0.001,99,,,,,,,
0,,99,,17.855127334594727,,,,,
,0.001,149,,,,,,,
0,,149,,17.09134864807129,,,,,
,0.001,199,,,,,,,
0,,199,,19.64092254638672,,,,,
,0.001,249,,,,,,,
0,,249,,14.154797554016113,,,,,
,0.001,299,,,,,,,
0,,299,,14.096695899963379,,,,,
,0.001,349,,,,,,,
0,,349,,14.331868171691895,,,,,
,0.001,399,,,,,,,
0,,399,,12.54996109008789,,,,,
,0.001,449,,,,,,,
0,,449,,17.543787002563477,,,,,
0,,494,,,13.015942573547363,0.9421107769012451,17.631256103515625,0.38993215560913086,9.101152420043945
0,,494,17.47047996520996,,,,,,
